imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
0.014808152834986314, 0.6648815549429246, 1.0388233188344405, 0.5766798692877352, -0.018774774436561156, 5.726199694694993, -0.3364942314515952, -0.49496335203714836, builtin_interfaces.msg.Time(sec=97, nanosec=947000000), 
-0.11055595704155187, 0.6645310256581641, 1.0437884512060556, 0.5871193734848543, -0.07524178496362935, 5.830388888634867, -0.28680901876200027, -0.525983498365208, builtin_interfaces.msg.Time(sec=98, nanosec=49000000), 
-0.06292834877445477, 0.6528753606695517, 1.0176145377038028, 0.5975003558449593, -0.0673338452028766, 5.9331500969391735, -0.23307770783253837, -0.5521981693200843, builtin_interfaces.msg.Time(sec=98, nanosec=151000000), 
-0.07069422765983152, 0.6929285773582022, 0.999814794761394, 0.607914841615149, -0.06911759274352809, 6.033811466096612, -0.1759844596280503, -0.5731118947204146, builtin_interfaces.msg.Time(sec=98, nanosec=253000000), 
-0.24034131409980855, 0.6633758176270008, 1.0095068288551736, 0.6144762986735962, -0.17462193319347546, 6.1343919462217595, -0.11602029150440776, -0.5884726955796538, builtin_interfaces.msg.Time(sec=98, nanosec=355000000), 
-0.1880833954992947, 0.6294507186947688, 1.0297565729282272, 0.6213853227195103, -0.1825205273975699, 6.23659413211734, -0.0537707564862345, -0.597899384700458, builtin_interfaces.msg.Time(sec=98, nanosec=457000000), 
-0.4020558320805702, 0.7480956557664252, 1.0429107482513655, 0.6275327034067875, -0.31767236952254413, 6.340382762154531, 0.010148998793529726, -0.6010178912092246, builtin_interfaces.msg.Time(sec=98, nanosec=525000000), 
-0.05445618629839703, 0.6960859237306519, 1.0403646154560204, 0.6367299485907759, -0.154436398715094, 6.444516477318928, 0.07486540460531488, -0.5974140185729596, builtin_interfaces.msg.Time(sec=98, nanosec=627000000), 
-0.17264708571518333, 0.6436606334708962, 1.0191200776956786, 0.6504047156214147, -0.16518705727923969, 6.5472399542234125, 0.13951573823434865, -0.5870102022260619, builtin_interfaces.msg.Time(sec=98, nanosec=729000000), 
-0.03603124202749507, 0.7602742578066907, 1.0073434675895467, 0.6627218814391513, -0.08494146288258682, 6.648424127461196, 0.20381603958267, -0.5697117800967727, builtin_interfaces.msg.Time(sec=98, nanosec=831000000), 
-0.053610353898807674, 0.7574438308371775, 1.0021999848231546, 0.6757080371814344, -0.06522908025526067, 6.748840589503133, 0.26692045294801314, -0.5456610944726078, builtin_interfaces.msg.Time(sec=98, nanosec=933000000), 
-0.05531279490008817, 0.7676377362551733, 0.998301773706078, 0.6870307358033, -0.05880242935677709, 6.848819665288881, 0.32828548860072937, -0.5148971644749888, builtin_interfaces.msg.Time(sec=99, nanosec=35000000), 
-0.05038628463484096, 0.7952601863986407, 0.9960000342893329, 0.6977903201356139, -0.05332262408684357, 6.948507587340209, 0.3871669090128621, -0.4775892404833603, builtin_interfaces.msg.Time(sec=99, nanosec=137000000), 
-0.009277388514562546, 0.7997781227435533, 0.994150469723562, 0.7086973108169179, -0.02584811981175119, 7.047993281392539, 0.44281789640294916, -0.4339869671040372, builtin_interfaces.msg.Time(sec=99, nanosec=239000000), 
-0.0391044824651574, 0.8143748708912794, 0.9944411760370334, 0.7202111687973896, -0.03379459085513657, 7.147426295003142, 0.49462721501377316, -0.38434467168592895, builtin_interfaces.msg.Time(sec=99, nanosec=307000000), 
-0.0424403935101038, 0.8470646083089872, 0.9922198476034949, 0.7303120271404128, -0.038904476792774284, 7.246733126959636, 0.5419681429325449, -0.3289611933417997, builtin_interfaces.msg.Time(sec=99, nanosec=409000000), 
-0.01093400412889758, 0.8607060561983242, 0.9908411112954085, 0.7408208535300561, -0.02138764369935185, 7.345869901129993, 0.5841550419503133, -0.26832924993895924, builtin_interfaces.msg.Time(sec=99, nanosec=511000000), 
0.17239654871978652, 0.8231141360808677, 0.9901923731512223, 0.7534182345794205, 0.0985274029447975, 7.444913918037243, 0.6204918923034766, -0.20310956170703162, builtin_interfaces.msg.Time(sec=99, nanosec=613000000), 
-0.13482169148120363, 0.8433455304365899, 0.9892379878800995, 0.7643888395472573, -0.04555021438379889, 7.543874171098774, 0.6506889316476785, -0.13358427513117718, builtin_interfaces.msg.Time(sec=99, nanosec=715000000), 
-0.05835847612621486, 0.8648733283383694, 0.9862966889435062, 0.7710300428593359, -0.05326928840399061, 7.6426161876153955, 0.6742722328153725, -0.06013283066975251, builtin_interfaces.msg.Time(sec=99, nanosec=817000000), 
-0.15002180093887255, 0.8821923663163804, 0.9853039278387227, 0.7786080105945687, -0.11279618207856476, 7.741184500499199, 0.6907130769565344, 0.016169398193308565, builtin_interfaces.msg.Time(sec=99, nanosec=919000000), 
-0.07221202645282171, 0.8897272959495646, 0.9871181480361945, 0.7873558997958762, -0.08739458537961017, 7.839827018257583, 0.6996720467183485, 0.09467700174992882, builtin_interfaces.msg.Time(sec=99, nanosec=987000000), 
0.07395695357310517, 0.8998254751473496, 0.9937860735857379, 0.7994586493957706, 0.01259654625489276, 7.938950933523609, 0.7008446051312472, 0.17440834243043687, builtin_interfaces.msg.Time(sec=100, nanosec=89000000), 
-0.058685133687625804, 1.005766010455829, 0.996915810797933, 0.8113408720305614, -0.031240497877733878, 8.038522969279482, 0.694048032143464, 0.2548358834942158, builtin_interfaces.msg.Time(sec=100, nanosec=191000000), 
0.07836106338188314, 0.8317722207900976, 0.9968615638070473, 0.8222491466442632, 0.03667853773531324, 8.138211197710861, 0.6790655946032456, 0.3352608797825819, builtin_interfaces.msg.Time(sec=100, nanosec=293000000), 
-0.1322730889604493, 1.0127164483897537, 0.9938830694276204, 0.8317235179357667, -0.06755300578104537, 8.237713273015386, 0.6558833544660291, 0.41481395027148044, builtin_interfaces.msg.Time(sec=100, nanosec=395000000), 
